__label__2 , 赫斯基 首季 盈利 增胜 预期
__label__2 , 民众金融科技 股 生效
__label__3 , 月 日 港股通 减 持股数 排名
__label__3 , 民众金融科技 预计 中期 业绩 由盈 转亏 亿港元
__label__2 , 民众 金融 附属 斥 亿 人民币 投资 融资 租赁 业务
__label__2 , 民众金融科技 完成 投资者 发行 金额 元可 换 股票
__label__2 , 民众金融科技 换 股债 转换 价下 修至 每股 港元
__label__2 , 月 日 港股通 增 持股数 排名
__label__3 , 民众 金融 跌 逾 建议 股份 合
__label__2 , 民众 金融 建议 合 每手 买卖 单位 改为 股
__label__2 , 民众金融科技 拟 基准 进行 并股
__label__2 , 民众金融科技 发行 亿港元 可换 股票 转换 价 溢价
__label__3 , 港股 异动 股东 套现 亿股 民众金融科技 跌
__label__1 , 民众金融科技 股价 现型 反转 现涨 逾
__label__3 , 景福集团 中期 亏损 收窄 万元 派息
__label__3 , 景福集团 中期 股东 应 占 亏损 减少 万港元
__label__3 , 景福集团 中期 亏损 收窄 万港元
__label__3 , 景福集团 预期 中期 亏损 同比 大幅 减少
__label__1 , 景福集团 签订 万港元 租约 使用权 协议
__label__1 , 邝 振忠 辞任 景福集团 公司 秘书 一职 梁佩玲 接任
__label__3 , 景福集团 年度 亏损 收窄 万港元 派息
__label__3 , 景福集团 中期 亏损 收窄 派息
__label__2 , 景福集团 主席 去世 散户 发死 人财
__label__3 , 景福 半年 蚀 万 派息
__label__1 , 顶金 实业 晚评 美元 有望 强势 回归 白银 反弹 基本 结束
__label__2 , 景福集团 供筹 亿今 复牌
__label__3 , 景福集团 全年 亏损 亿元 派息
__label__2 , 川河集团 于月 日 没收 仍未 领取 年 末期 股息
__label__2 , 川河集团 年度 盈利 亿元 股息 仙
__label__3 , 川河集团 年度 股东 应 占 溢利 减少 亿港元 每股 派息 港元
__label__3 , 川河集团 料 去年 纯利 跌
__label__3 , 川河集团 预计 年度 股东 应 占 溢利 同比 下跌
__label__2 , 联交所 川河集团 授出 豁免 严格遵守 最低 公众 持股 量 规定
__label__2 , 川河集团 汤氏 家族 持股
__label__2 , 川河集团 要约 方 接获 亿股 有效 接纳
__label__2 , 川河集团 亿股 要约 股份 获 有效 接纳 要约 已成 无条件
__label__2 , 川河集团 要约 截止 日期 可能 延长
__label__2 , 川河集团 委任 铠盛 资本 独立 财务顾问
__label__2 , 川河集团 股东 汤氏 家族 提出 私有化
__label__2 , 川河集团 获 汤氏 家族 折让 提 全购
__label__2 , 川河集团 汤氏 家族 提 呈 要约 事项 成立 独立 董事 委员会
__label__1 , 川河集团 获 汤臣集团 股东 提要 约 收购 月 日 下午 复牌
__label__3 , 川河集团 停牌 暂不悉 原因
__label__3 , 川河集团 中期 股东 应 占 溢利 减少 亿港元
__label__3 , 川河集团 拟 没收 未 领取 年度 末期 股息
__label__1 , 川河集团 预计 上半年 综合 净利 增长 约
__label__1 , 公司 盈喜 川河 料年 税后 纯利 大增
__label__1 , 川河集团 预计 年度 溢利 大幅 增长
__label__1 , 上海 自贸区 迎来 新一轮 政策 支持 上海 自贸区 概念股 最新 一览
__label__1 , 川河集团 去年 多赚 亿元 末期 息仙
__label__2 , 壹传媒 每手 买卖 单位 更改 万股
__label__2 , 壹传媒 附属 控股 股东 黎智英 订立 租赁 协议
__label__2 , 壹传媒 附属 拟 亿元 新台币 出售 高雄市 闲置 物业
__label__2 , 壹传媒 日 停牌 原因 公布
__label__1 , 壹传媒 获非 执行主席 黎智英 两 日增 持 万股
__label__1 , 壹传媒 延长 出售 若干 杂志 业务 完成 日期
__label__1 , 壹传媒 出售 壹 周刊 广告 出版 营运 业务 净赚 万港元
__label__1 , 拟 亿港元 出售 杂志 业务 壹传媒 午后 复牌 大涨
__label__3 , 壹传媒 半年 亏损 扩大 亿 派息
__label__3 , 壹传媒 发盈警 中期 业绩 录得 重大 亏损
__label__3 , 壹传媒 霸王 官司 被判 败诉 咨询 法律 意见 考虑 上诉
__label__3 , 壹 周刊 研判 词再 决定 是否 上诉 霸王 全日 股价 大幅 波动
__label__3 , 壹传媒 传裁 逾百人 旗下 刊物 停刊 重组
__label__3 , 壹传媒 旗下 停刊 承诺 短期内 不再 裁员
__label__3 , 壹传媒 传裁 逾百人 旗下 刊物 停刊 重组
__label__1 , 增持 壹传媒 万股 耗资 万 港币
__label__3 , 壹传媒 发盈 警料 中期 业绩 盈转 亏
__label__1 , 特首 廉署 决心 贪 团体 促查 反对派 黑金
__label__3 , 澄清 损万 霸王 告壹 周刊 诽谤 索偿 亿
__label__1 , 时代 投研 争霸 万亿 车联网 比亚迪电子 迎来 千亿 井喷
__label__2 , 中国 车市 寻底 月 转机
__label__2 , 隐形 巨头 比亚迪电子 代工 苹果 三星 年 冲击 亿
__label__2 , 解构 比亚迪电子 业务 时代 布局
__label__2 , 比亚迪电子 王 念强 未来 三大 业务 均 有望 突破 千亿 规模
__label__2 , 年收入 超亿 市值 亿 比亚迪电子 低估
__label__2 , 比亚迪电子 年度 股东 应 占 溢利 亿元 经营 现金 流入 增至 亿元
__label__2 , 比亚迪电子 比亚迪 集团 提供 供电 服务
__label__3 , 广汽 比亚迪 部分 一线 员工 放假 上半年 客车 行业 订单 不饱和
__label__2 , 比亚迪电子 预计 玻璃 业务 产能 利用率 显著 提升
__label__2 , 李慧芬 港元 之下 买入 比亚迪电子 目标 港元
__label__2 , 青岛市 比亚迪 汽车 工商 变更 王传福 执行 董事 变更 董事长
__label__2 , 持续 火爆 比亚迪电子 金属 手机 壳 行业龙头 底部 面临 突破
__label__2 , 同佳健康 完成 出售 傲龙 股权
__label__1 , 同佳健康 年度 股东 应 占 溢利 增长 万港元
__label__2 , 同佳健康 附属 拟 万港元 出售 傲龙 股权 及斥 万港元 收购 股权
__label__2 , 同佳健康 减持 医疗 业务 权益
__label__2 , 牛市 开启 二胎 概念 重点 关注 同佳健康 重组 爱帝宫
__label__2 , 同佳健康 亿元 购 深圳 母婴 保健 服务公司 日复牌
__label__3 , 同佳健康 公布 认购 事项 日 停牌
__label__2 , 同佳健康 收购 医美 抗衰老 集团 达成 业绩 承诺 目标
__label__2 , 同佳健康 收购 资产 未达 保证 利润 要求 寻求 赔偿
__label__2 , 同佳健康 授出 多亿港元 贷款 展期 年
__label__2 , 同佳健康 目标 公司 广东 丰源 华科 未 达到 利润 保证 要求
__label__2 , 同佳健康 中期 溢利 万港元 同比 增长
__label__2 , 同佳健康 中期 溢利 预增 超倍
__label__2 , 同佳健康 延长 亿港元 票据 万美元 换 股债 期限
__label__1 , 同佳健康 布局 南美 古巴 血制品 产业 市值 有望 爆 千亿
__label__1 , 同佳健康 商讨 成立 合营企业
__label__3 , 同佳健康 年度 税前 利润 预降
__label__1 , 同佳健康 悉数 赎回 万港元 发行 未 转换 可换 股 债券
__label__2 , 同佳健康 于月 日 赎回 到期 万港元 可换 股债
__label__1 , 同佳健康 折让 发行 亿股 代价 股份
__label__1 , 同佳健康 完成 收购 医美 抗衰老 业务
__label__1 , 同佳健康 收购 爱氏 妇幼 医疗 暂停 发行 代价 股份
__label__1 , 同佳健康 拟 增发 亿股 现金 万港元 收购 医美 抗衰老 业务
__label__3 , 同佳健康 预计 中期 税前 溢利 减少
__label__1 , 张文莉 增持 同佳健康 万股 耗资 万 港币
__label__1 , 同佳健康 年 多赚 万港元 派息
__label__2 , 同佳健康 完成 票据 发行 净筹 万港元
__label__1 , 同佳健康 乐氏同仁 签订 战略 合作 框架 协议
__label__1 , 同佳健康 成功 转型 业绩 连年 增长
__label__2 , 永发置业 委任 民 信会计师事务所 有限公司 核数师
__label__3 , 永发置业 中期 股东 应 占 溢利 减少 万港元 每股 派息 港元
__label__3 , 永发置业 料 中期 盈利 同比 减少
__label__2 , 永发置业 拟 亿港元 出售 香港 物业
__label__1 , 永发置业 预期 全年 盈利 增加 约 倍
__label__2 , 邢沛 接替 陆海林 永发置业 独立 非 执行 董事
__label__1 , 永发置业 中期 溢利 增长 倍至 亿港元 每股 派息 港元
__label__1 , 永发置业 预计 中期 盈利 大增 倍
__label__1 , 永发置业 完成 出售 宏富 远东
__label__3 , 永发置业 中期 少 赚 派息 港仙股
__label__2 , 永发置业 全年 少 赚
__label__3 , 永发置业 预估 年度 溢利 减少
__label__2 , 永发置业 收购 物业 交易 告吹
__label__3 , 万洲国际 减持 万股
__label__2 , 大行 万洲国际 最新 评级 表 最高 目标价 港元
__label__3 , 减持 万洲国际 股 每股 作价 港元
__label__2 , 万洲国际 首季 净利润 升
__label__3 , 港股 开盘 港股 恒指 低开 吉利汽车 跌领 跌 蓝筹
__label__2 , 猪肉 股 万洲国际 继续 疯涨
__label__2 , 高盛 万洲国际 目标价 上调 港元 维持 买入 评级
__label__2 , 高盛 升 万洲 目标价 港元 受惠 内地 猪价 上升 周期
__label__2 , 万洲国际 今年 累计 升幅 高达 股价 创 历史 新高
__label__2 , 传 中国 拟 增购 美国 猪肉 万洲国际 曾涨
__label__2 , 双汇发展 亿 重组 母公司 再添 变数 交易所 两道 问询 屠夫 万隆 过关
__label__3 , 万洲国际 减持 万股
__label__3 , 减持 万洲国际 万股 每股 作价 港元
__label__3 , 永安 国际 年度 股东 应 占 溢利 下降 亿港元 每股 派港 仙
__label__2 , 永安 国际 月 日 合计 注销 万股 股份
__label__2 , 月 日 合计 注销 万股
__label__2 , 永安 国际 注销 万股
__label__2 , 月 日 合计 注销 万股 回购 股份
__label__3 , 回购 股涉资 万港元
__label__2 , 月 日 注销 万股
__label__1 , 独董 获 委任 审核委员会 成员
__label__1 , 获 任为 审核委员会 成员
__label__1 , 料 财年 净利 大增
__label__1 , 中期 净利 增至 亿港元
__label__1 , 料 中期 纯利 大增 倍
__label__2 , 月 日 回购 万股 耗资 万 港币
__label__1 , 永安 国际 月 日 回购 万股 耗资 万 港币
__label__1 , 永安 国际 月 日 回购 万股 耗资 万 港币
__label__1 , 永安 国际 月 日 回购 万股 耗资 万 港币
__label__1 , 永安 国际 月 日 回购 万股 耗资 万 港币
__label__1 , 永安 国际 月 日 回购 万股 耗资 万 港币
__label__1 , 永安 国际 月 日 回购 万股 耗资 万 港币
__label__3 , 上半年 少 赚 下半年 艰难
__label__1 , 永安 国际 月 日 回购 万股 耗资 万 港币
__label__1 , 永安 国际 月 日 回购 万股 耗资 万 港币
__label__1 , 永安 国际 月 日 回购 万股 耗资 万 港币
__label__3 , 永安 国际 租约 期 届满 前 关闭 太 古城 门店
__label__2 , 中国富强金融 金额 万美元 债券 于月 日 分配 予 认购
__label__2 , 中国富强金融 认购 多为 万美元 绿地控股 间接 全资 附属 债
__label__2 , 中国富强金融 授出 亿港元 贷款
__label__2 , 中国富强金融 因可换 股 债券 获 转换 折让 约 发行 亿股
__label__2 , 中国富强金融 完成 增发 亿股 净筹 万港元
__label__2 , 中国富强金融 折让 配股 筹 万元
__label__2 , 中国富强金融 拟 折让 发行 亿股 认购 股份
__label__3 , 中国富强金融 中期 亏损 同比 扩大 万港元
__label__2 , 中国富强金融 采纳 股息 政策
__label__3 , 中国富强金融 预期 中期 净亏损 超过 万港元
__label__2 , 朱毅 接替 刘一男 获任 中国富强金融 执董 授权代表
__label__2 , 中国富强金融 斥 万美元 认购基金 份额
__label__1 , 中国富强金融 万港元 可换 股债 成功 发行 予
__label__3 , 中国富强金融 由盈 转亏 年度 净亏 万港元
__label__3 , 中国富强金融 全年 业绩 由盈 转亏 万港元
__label__3 , 中国富强金融 预期 年度 业绩 由盈 转亏
__label__1 , 中国富强金融 拟 获授 一笔 万港元 贷款
__label__3 , 中国富强金融 中期 业绩 由盈 转亏 万港元
__label__1 , 中国富强金融 拟 出资 亿元 占股 成立 合营 证券公司
__label__3 , 中国富强金融 预期 前 月 由盈 转亏 净亏损 不超 万港元
__label__1 , 中国富强金融 延迟 寄发 成立 合营 公司 通函
__label__2 , 华人 策略 控股 减持 中国富强金融 万股 套现 万 港币
__label__2 , 华人 策略 控股 增持 中国富强金融 万股 耗资 万 港币
__label__1 , 中国富强金融 预计 中期 由亏 转盈
__label__3 , 中国富强金融 预计 年度 股东 应 占 亏损 同比 跌
__label__1 , 中国富强金融 中国 信贷 发可换 股 债券
__label__1 , 民生银行 拟 入主 华富 香港 券商 大涨
__label__1 , 富强 金融 发 万可 换股 债券
__label__2 , 华润啤酒 收购 中国 股份 交割 获 任非 执董
__label__1 , 中信建投 坚定 啤酒 行业 乐观 态度 推荐 股
__label__3 , 关注 华润啤酒 遭遇 转型 之困
__label__3 , 关停 家 酒厂 利润 销量 双降 华润啤酒 遭遇 转型 之困
__label__2 , 深度 啤酒 江湖 美日 之鉴 探破局 之路
__label__2 , 淡季 产量 增速 靓眼 啤酒 股 估值 优势 显现
__label__1 , 华润啤酒 实力雄厚 破局 高端 远望 绝对 龙头
__label__2 , 日常 消费品 年 茅台 规划 稳 增长 荐 股
__label__2 , 行业 景气 延续 龙头 业绩 确定性 强 标题
__label__3 , 华润啤酒 去年 销量 下滑 未来 发 力中 高端 市场
__label__3 , 利润 下滑 销量 萎缩 华润啤酒 遭遇 中年 危机
__label__2 , 百威英博 换帅 国内 高端 啤酒 市场竞争 趋烈
__label__2 , 麦格理 升润 啤 目标价 至元 评级 跑 输 大市
__label__2 , 啤酒 销量 年降 年度 溢利 跌破 亿 华润啤酒 深陷 转型 僵局
__label__2 , 华润啤酒 年 营业额 增长 去除 低效 产能 停运 间 酒厂
__label__3 , 华润啤酒 经历 转型 阵痛 加减法 效果 释放 去年 净利 降
__label__2 , 花旗 升润 啤 目标价 至元 评级 买入
__label__3 , 瑞信 下调 润 啤 目标价 至元 评级 跑 赢大 市
__label__2 , 华润啤酒 侯孝海 中国啤酒 市场 很大 海外 非 销售 重点
__label__2 , 中泰证券 春节 超 预期 啤酒 全年 成长空间 仍足
__label__2 , 华润啤酒 侯孝海 获得 中国 内地 香港 澳门 使用 喜力 品牌 唯一 授权
__label__2 , 范劲松 熊 欣慰 研究 助理 啤酒 前瞻 春节 超 预期 奠定 季报 基础 全年 成长空间 仍足
__label__3 , 华润啤酒 去年 收入 亿 售价 上涨 净利 下滑
__label__3 , 华润啤酒 年度 股东 应 占 溢利 同比 降至 亿元 末期 息元
__label__2 , 深度 专题 国际 啤酒 巨头 发展 历程 我国 啤酒 行业 未来
__label__2 , 东兴证券 啤酒 行业 目前 正 变革 时期 关注 股
__label__2 , 中 高端 啤酒 受力 捧 表现 强劲 行业 高端化 趋势 渐显 加剧 分化 进程
__label__2 , 外资 流入 提升 板块 话语权 食品饮料 估值 修复 在路上
__label__2 , 泛海酒店 中期 盈利 亿元 派息
__label__3 , 泛海酒店 半年 收入 亿港元 溢利 同比 减
__label__3 , 泛海酒店 中期 股东 应 占 溢利 同比 降至 亿港元
__label__2 , 泛海酒店 股东 应 占 中期 溢利 同比 减少 亿港元
__label__2 , 泛海酒店 中期 溢利 同比 减少 亿港元
__label__1 , 泛海酒店 年度 净利润 同比 增长 亿港元
__label__1 , 泛海酒店 完成 发行 红股
__label__1 , 泛海酒店 完成 发行 亿股 红股 申请 复牌
__label__1 , 泛海酒店 间接 附属 公司 斥资 亿 购买 海外 资产
__label__1 , 泛海酒店 亿港元 购入 加拿大 一宗 地块 面积 达 平方 呎
__label__1 , 泛海酒店 于月 日 完成 收购 温哥华 项目 最大 股东
__label__1 , 增持 泛海酒店 万股 耗资 万 港币
__label__1 , 世纪城市国际 控股 增持 泛海酒店 万股 耗资 万 港币
__label__3 , 国泰航空 月 载客量 上升 货物 邮件 运载 量 下跌
__label__3 , 国泰航空 独立 非 常务董事 退任
__label__2 , 港航 拟 引新 股东 传 星印 资金 表 兴趣
__label__2 , 收购 香港 快运 国泰航空 补 廉航 短板
__label__2 , 汇丰 维持 国泰 买入 目标价 元
__label__2 , 国泰 收购 廉航 香港 快运 存在 变数
__label__2 , 国泰航空 拓展 低成本 航空 市场 拟 亿港元 收购 海航 旗下 香港 快运
__label__2 , 国泰航空 亿港元 收购 香港 快运 发行 股本
__label__2 , 香港 国泰航空 拟 收购 香港 唯一 廉价 航空公司 快运 航空
__label__2 , 国泰 传 今日 公布 收购 香港 快运
__label__1 , 小摩 重申 国泰 评级 增持 目标价 升至 元
__label__2 , 国泰航空 月份 载客量 万人次 同比 增长
__label__2 , 大摩 下调 国泰航空 目标价 至元 维持 增持 评级
__label__2 , 富瑞 升 国泰 目标价 至元 评级 维持 买入
__label__1 , 汇丰 升 国泰 目标价 至元 评级 买入
__label__2 , 国泰航空 获 高盛 上调 目标价
__label__2 , 国泰航空 获 汇丰 证券 上调 目标价
__label__2 , 麦格理 国泰航空 目标价 升至 元予 跑 赢大 市 评级
__label__2 , 摩根士丹利 国泰航空 派息 比率 达
__label__2 , 德意志 国泰航空 目标价 微 升至 港元
__label__2 , 大摩 下调 国泰 目标价 至元 评级 增持
__label__1 , 交银 国际 国泰航空 维持 买入 评级 目标价 元
__label__2 , 瑞银 升 国泰 目标价 至元 评级 买入
__label__2 , 大和 维持 国泰 买入 评级 目标 元
__label__1 , 业绩 扭亏 三年计划 臻佳 境 国泰航空 前途
__label__1 , 高盛 升 国泰 目标价 至元 重申 确信 买入 名单
__label__2 , 国泰航空 高富帅 购 廉航 助力 冲上云霄
__label__2 , 航空联盟 作用 遭 质疑 三大联盟 加快 中转 服务 革新
__label__2 , 国泰航空 拟 收购 香港 快运 老冤家 关系 现 转机
__label__2 , 富瑞 国泰 洽购 香港 快运 看法 正面 维持 买入 评级
__label__2 , 国泰 认购 香港 快运 进军 廉价 航空 助力 渗透 低端 客群
__label__2 , 海航 继续 卖子 国泰航空 确认 正在 商谈 收购 海航 旗下 香港 快运
__label__2 , 瑞信 重申 国泰 跑 赢大 市 评级 目标价 元
__label__2 , 大和 国泰 若购 香港 快运 协同效应 不大 维持 买入 评级
__label__2 , 国泰航空 正 积极 商谈 收购 香港 快运 事项
__label__2 , 国泰航空 正在 商谈 收购 香港 快运 事项 尚未 订立 协议
__label__2 , 传 国泰航空 入股 港航 兼 快运
__label__2 , 中资 航空 股 股价 急涨 东方航空 涨 逾
__label__2 , 长江制衣 获 主席 兼 执董 陈永奎 增持 万股
__label__2 , 长江制衣 获 主席 兼 执董 陈永奎 增持 万股
__label__2 , 长江制衣 获 主席 兼 执董 陈永奎 增持 万股
__label__2 , 长江制衣 获 主席 兼 执董 陈永奎 两 日增 持 万股
__label__3 , 长江制衣 中期 业绩 由亏 转盈 万港元
__label__2 , 长江制衣 中期 业绩 由盈 转至 万港元
__label__2 , 长江制衣 中期 业绩 盈转 亏 万港元
__label__3 , 长江制衣 预计 中期 业绩 盈转 亏 实现 税后 净亏损
__label__3 , 公司 盈喜 长江制衣 料 中期 业绩 扭亏
__label__3 , 长江制衣 半年 蚀 万 无锡 投资 负面影响
__label__3 , 长江制衣 发盈警
__label__2 , 江山控股 停牌 涉 非常 重大 出售
__label__2 , 江山控股 一季度 太阳能电站 总 发电量 上升 约 万 兆瓦 时
__label__2 , 江山控股 季度 总 发电量 约 万 兆瓦 时
__label__2 , 寻找 江山控股 年 价值 投资 锚
__label__2 , 江山 座 太阳能发电站 获 纳入 第二批 光伏 扶贫 补助 目录
__label__2 , 江山控股 座 太阳能发电站 获 纳入 第二批 光伏 扶贫 补助 目录
__label__2 , 江山控股 拟 亿元 出售 樟树 项目 公司
__label__3 , 江山控股 年度 股东 应 占 溢利 下降 万元
__label__2 , 江山控股 拟 亿元 出售 霍林郭勒 项目 公司 股权
__label__2 , 江山控股 亿元 深圳 雄韬 电源 科技 出售 江山 宝源 股权
__label__2 , 江山控股 月 太阳能 总 发电量 同期 上升 万瓦 时
__label__2 , 江山控股 拟 出售 合营 公司 江山 宝源 国际 部分 股权
__label__2 , 年 月 江山控股 太阳能发电站 总 发电量 统计 达到 约 兆瓦 时
__label__2 , 江山控股 月 总 发电量 约 万 兆瓦 时升
__label__3 , 江山控股 预计 年度 净利润 同比 下滑
__label__2 , 年 江山控股 太阳能发电站 总 发电量 统计 达到 约 万 兆瓦 时
__label__2 , 江山控股 终止 收购 广州 宝乾 股权
__label__2 , 江山控股 太阳能发电站 年发电量 大幅 上升 万 兆瓦 时
__label__2 , 江山控股 发行 亿港元 于年 到期 债券
__label__2 , 江山控股 国银租赁 签订 亿元 融资 租赁 合同
__label__2 , 江山控股 披露 合伙 协议 通函 光伏电站 项目 注资 亿元
__label__2 , 江山控股 亿元 出售 贵溪 项目 公司 股权
__label__2 , 港股 异动 江山控股 尾盘 大幅 拉 升涨
__label__2 , 江山控股 行业 已现 投资 机会 公司 价值 严重 低估
__label__2 , 江山控股 前 月 总 发电量 同比 增至 万 兆瓦 时
__label__2 , 江山控股 前 月 总 发电量 同比 增至 万 兆瓦 时
__label__1 , 江山控股 前 三季度 发电量 同比 大幅 上升 约
__label__2 , 江山控股 前 月 总 发电量 同比 增至 万 兆瓦 时
__label__2 , 江山控股 前 月 太阳能电站 总 发电量 同比 增至 万 兆瓦 时
__label__2 , 江山控股 中期 营收 大增 成至 亿元
__label__2 , 江山控股 出资 亿元 设 有限 合伙 投资 高 增长 行业
__label__1 , 江山控股 附属 不超 亿元 受托 资产 达成 资产 管理 协议 保证
__label__1 , 江山控股 上半年 太阳能 发电量 大幅 上升 万 兆瓦 时
__label__1 , 江山控股 座 太阳能电站 获 纳入 补助 目录 合计 补助 亿元
__label__1 , 江山控股 太阳能发电站 获 纳入 第批 能源 电价 资金 补助 目录
__label__1 , 江山控股 首月 总 发电量 大幅 上升 万 兆瓦 时
__label__2 , 江山控股 年 月 月 发电量 同比 大幅 上升 约
__label__1 , 江山控股 曾俭华获 委任 薪酬委员会 提名委员会 成员
__label__1 , 业绩 会 实录 丨 江山控股 年 考虑 境外 发债
__label__2 , 江山控股 年 第一季度 发电量 同比 升 网 总 装机容量 达 兆瓦
__label__2 , 英皇娱乐酒店 回购 万股 涉资 万港元
__label__2 , 英皇娱乐酒店 回购 万股 涉资 万港元
__label__1 , 英皇娱乐酒店 回购 万股 涉资 万港元
__label__2 , 英皇娱乐酒店 回购 万股 涉资 万港元
__label__2 , 英皇娱乐酒店 完成 进一步 收购 娱乐酒店 公司 股权
__label__2 , 英皇娱乐酒店 回购 万股 涉资 万港元
__label__2 , 中化化肥 中化化肥 有限公司 年度 扭亏为盈 亿元
__label__2 , 中化化肥 附属 拟 发行 亿元 第一期 超 短期 融资券
__label__1 , 冠通期货 中化化肥 签署 战略 合作 协议
__label__2 , 中化化肥 去年 实现 扭亏为盈 未来 毛利 持续 提升
__label__3 , 中化化肥 年度 业绩 由亏 转盈 亿元 每股 派息 港元
__label__2 , 化肥 市场 发展趋势
__label__1 , 中信证券 农业 托管 万亿 蓝海 市场 关注 农资 龙头
__label__3 , 中化化肥 独立 非 执董 卢欣 三日 减持 万股
__label__2 , 中化化肥 董事 出售 公司 万股 恢复 公众 持股 量
__label__2 , 中化化肥 料年 转 盈亿 亿元
__label__2 , 中化化肥 预期 年度 业绩 扭亏为盈 亿元
__label__3 , 中化化肥 独立 董事 谢孝 衍 减持 万股
__label__3 , 中化化肥 张伟 辞任 董事会 主席
__label__2 , 中化化肥 公众 持股 量 约
__label__1 , 中化化肥 获 独立 董事 谢孝 衍增 持 万股
__label__1 , 中化化肥 获 独立 非 执董 谢孝 衍三 日增 持 万股
__label__2 , 中化化肥 中化化肥 债将 于月 日 付息
__label__2 , 中化化肥 拟授 出不超 亿元 贷款
__label__1 , 中化化肥 获 执董 杨宏伟 两 日增 持 万股
__label__3 , 中化化肥 建议 削减 股份 溢价 账 进账 额为 亿元
__label__3 , 中化化肥 中化化肥 前 月 业绩 扭亏为盈 亿元
__label__2 , 中化化肥 首个 月 扭亏为盈
__label__2 , 中化化肥 中期 多赚 倍绩 后续 升近
__label__2 , 中化化肥 年 上半年 盈利 同比 大幅 上升
__label__2 , 中化化肥 中美 贸易 冲突 公司 行业 带来 挑战 惟 长远 有利 行业 发展
__label__1 , 中化化肥 预期 上半年 经营 业绩 去年 明显 上升
__label__1 , 首季 扭亏为盈 中化化肥 今日 反弹 超
__label__1 , 中化化肥 附属 中化化肥 一季度 扭亏为盈 亿元
__label__3 , 中化化肥 年度 亏损 同比 收窄 亿元
__label__1 , 中化化肥 转让 信托 计划 信托 受益权
__label__3 , 中化化肥 预计 年 经营 亏损 显著 下降
__label__2 , 庄士中国 预期 年度 权益 持有人 应 占 溢利 亿 亿港元 之间
__label__2 , 庄士中国 委任 主席 董事 总经理
__label__2 , 庄士中国 委任 罗博文 执行 董事
__label__2 , 庄士中国 法院 北海集团 董事 衍生 诉讼 实质 审讯 期 延至 年
__label__3 , 庄士中国 中期 股东 应 占 溢利 减少 万港元 每股 派息 港元
__label__2 , 庄士中国 湖南 汉业 诉状 进行 抗辩
__label__2 , 庄士中国 接获 湖南 汉业 房地产 合营 伙伴 发出 民事 起诉状
__label__2 , 庄士中国 料 年度 溢利 多亿港元 去年 减少 超亿
__label__1 , 庄士中国 附属 佲 家 鹭江酒店 签订 租赁 协议
__label__2 , 庄士中国 北海 反对 获 许可 展开 拟 提出 衍生 诉讼
__label__1 , 庄士 机构 拟 多于 亿港元 出售 予 庄士中国
__label__2 , 庄士中国 拟 多亿 马来 出售 贷款
__label__1 , 庄士中国 中期 净利 增至 万港元
__label__1 , 庄士中国 预期 中期 溢利 万港元 亿港元
__label__1 , 庄士中国 月 日 回购 万股 耗资 万 港币
__label__1 , 庄士中国 月 日 回购 万股 耗资 万 港币
__label__1 , 庄士中国 月 日 回购 万股 耗资 万 港币
__label__1 , 庄士中国 月 日 回购 万股 耗资 万 港币
__label__1 , 庄士中国 月 日 回购 万股 耗资 万 港币
__label__1 , 庄士中国 月 日 回购 万股 耗资 万 港币
__label__2 , 货币政策 保持 战略 定力
__label__2 , 宝能 系 港股 地产 平台 诞生 新体育 拟 更名 为宝 新置
__label__2 , 新体育 委任 夏 凌捷 执行 董事
__label__2 , 新体育 拟 更名 宝新 置地集团 有限公司
__label__2 , 收购 湖南 地产 公司 新体育 去年 营业额 增至 亿港元
__label__2 , 新体育 年 股东 应 占 利润 同比 增长 亿港元
__label__2 , 新体育 委任 嘉林 资本 独立 财务顾问
__label__3 , 新体育 月 日 停牌 以待 公布 内幕消息
__label__2 , 新体育 月 日 注销 万股
__label__2 , 王者归来 体育 游戏群 迎 重磅 利好 腾讯 市值 瞬间 飙升 超 亿元 多家 上市公司 回应
__label__2 , 新体育 委任 姚建辉 执行 董事 兼 董事会 主席
__label__2 , 新体育 附属 宝新 控股 徐蓉 周旭 订立 和解 协议
__label__2 , 新体育 回购 万股 涉资 万港元
__label__2 , 新体育 月 日 合计 注销 万股 回购 股份
__label__2 , 新体育 回购 万股 涉资 万港元
__label__2 , 新体育 回购 万股 涉资 万港元
__label__2 , 新体育 拟 斥资 万 回购 万股
__label__2 , 新体育 委任 湛玉珊 非 执行 董事
__label__2 , 新体育 市场 回购 万股 涉资 万港元
__label__2 , 新体育 获 主席 兼 执董 张晓东 增持 万股
__label__3 , 新 体育集团 发布 中 报 纯利 同比 下降
__label__3 , 新体育 上半年 净利 同比 下滑 亿元
__label__1 , 新体育 附属 斥资 亿元 收购 湖南 美联 置业 股权
__label__3 , 左手 倒 右手 宝能 割肉 抛售 深圳 套房 新体育 疑团
__label__1 , 新体育 亿元 收购 宝能 项目 已有 亿宝 能系 资产 注入
__label__3 , 投服 中心 提起 首例 退市 公司 支持 诉讼
__label__2 , 昆明机床 股复牌 时限 月 日
__label__3 , 昆明机床 去年 亏损 收窄 亿 人民币 派息
__label__3 , 股民 打假 专场 骗过 上市公司
__label__2 , 昆明机床 董事会 审议 王丽芳 担任 公司 副总裁
__label__2 , 年龄 原因 叶农 辞任 昆明机床 副总裁
__label__3 , 昆明机床 收到 民事 判决书
__label__2 , 昆明机床 沈阳市政府 中国 通用 技术 集团 签订 战略 重组 沈阳机床 集团 框架 协议
